iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization;class
1;1;100;0;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Nach der Art der Küche.  ;request;ALL;foodtype ;field ;open;1;41;1;foodtype ;field ;1;0;0;0;1;0;0;0;1;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;5;;;;;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;2;100;0;1;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Chinesische Küche.  ;indicateValues;foodtype;chinese ;foodtype ;choice;1;16;1;chinese foodtype ;foodtype field ;1;0;0;1;0;0;0;1;0;1;;neutral;neutral;chinese;neutral;neutral;;;;;;2;0;0;provide ;2;;;;;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;3;100;0;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;chinese;neutral;neutral;;;chinese ;;;3;0;0;provide ;2;;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;4;100;0;1;An welchem Tag beabsichtigen Sie essen zu gehen? ;Mittwoch.  ;request;date;wednesday ;date ;closed;0;8;1;wednesday ;date ;1;0;0;0;1;0;0;0;0;3;;midday;wednesday;chinese;neutral;neutral;midday ;;chinese ;;;4;0;0;provide ;1;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;5;100;0;1;Wieviel möchten Sie ungefähr pro Person ausgeben?;30 Euro.  ;request;price;expensive ;price ;closed;0;7;1;expensive ;price ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;;;5;0;0;provide ;2;;;cui35 ;;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;6;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;5;0;0;accept ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;7;100;0;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Art der Küche.  ;request;field;foodtype ;field ;closed;1;28;1;foodtype ;field ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;5;0;0;provide ;3;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;8;100;0;1;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Französiche.  ;indicateValues;foodtype;french ;foodtype ;choice;1;16;1;;;0;1;0;0;0;0;1;0;0;5;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;provide ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;9;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;5;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;accept ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;10;100;0;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Art der Küche.  ;request;field;foodtype ;field ;closed;1;28;1;foodtype ;field ;1;0;0;0;1;0;0;0;0;5;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;provide ;3;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;11;100;0;1;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Chinesische Küche.  ;indicateValues;foodtype;chinese ;foodtype ;choice;1;16;1;chinese foodtype ;foodtype field ;1;0;0;1;0;0;0;1;0;6;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;provide ;2;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;12;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Nein.  ;offerModification;logical;no ;logical ;choice;0;13;1;no ;logical ;1;0;0;0;1;0;0;0;0;6;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;neglect ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
1;13;100;0;1;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;bye;bye;;;na;0;13;0;;;;;;;;;;;0;6;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;;0;;0;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;word_accuracy_100
2;1;100;0;2;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Nach dem Ort des Restaurants.  ;request;ALL;localization ;field ;open;1;46;1;localization foodtype ;field field ;1;0;0;1;0;0;0;1;5;0;;evening;tuesday;greek;cheap;weitmar;;;;;;1;0;0;provide ;5;;;;;;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;2;100;0;2;Sie haben folgende Auswahlmöglichkeiten: im Zentrum, in Wiemelhausen, in Querenburg, andere Möglichkeiten oder keine Präferenz.;Andere Möglichkeiten.  ;indicateValues1;localization;nextchoice ;action ;choice;1;15;1;nextchoice ;action ;1;0;0;0;1;0;0;0;5;0;;evening;tuesday;greek;cheap;weitmar;;;;;;2;0;0;;2;;;;;;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;3;100;0;2;Die anderen Möglichkeiten sind Langendreer, Riemke, Gerthe oder Weitmar.;Weitmar.  ;indicateValues2;localization;weitmar ;localization ;choice;1;9;1;weitmar ;localization ;1;0;0;0;1;0;0;0;4;0;;evening;tuesday;greek;cheap;weitmar;;;;;;3;0;0;provide ;1;;;;;;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;4;100;0;2;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Abendessen.  ;request;time;evening ;time ;choice;1;11;1;evening ;time ;1;0;0;0;1;0;0;0;3;0;;evening;tuesday;greek;cheap;weitmar;;;;;weitmar ;4;0;0;provide ;2;;hor ;;;loc8 ;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;5;100;0;2;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Griechisch.  ;request;foodtype;greek ;foodtype ;closed;1;10;1;;;0;1;0;0;0;0;1;0;2;0;;evening;tuesday;greek;cheap;weitmar;evening ;;;;weitmar ;5;0;0;provide ;1;hor ;hor ;;;loc8 ;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;6;100;0;2;Bevorzugen Sie eine bestimmte Küche, zum Beispiel italienisch, französisch, griechisch... ?;Die griechische Küche.  ;request;foodtype;greek ;foodtype ;closed;1;10;1;greek foodtype ;foodtype field ;1;0;0;1;0;0;0;1;2;0;;evening;tuesday;greek;cheap;weitmar;evening ;;;;weitmar ;5;0;0;provide ;3;hor ;hor ;;;loc8 ;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
2;7;100;0;2;Hier ist das passende Restaurant auf Ihre Anfrage.  {Arthemis                 Wasserstr. 149  } Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;24;0;;;;;;;;;;;2;0;101;evening;tuesday;greek;cheap;weitmar;evening ;;greek ;;weitmar ;5;;0;;0;hor ;hor ;cui22 ;;loc8 ;evening;tuesday;greek;cheap;weitmar;word_accuracy_100
4;1;100;0;4;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Der ungefähre Ort des Restaurants.  ;request;ALL;localization ;field ;open;1;46;1;localization foodtype ;field field ;1;0;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;1;0;0;provide ;5;;;;;;neutral;neutral;italian;average;querenburg;word_accuracy_100
4;2;100;0;4;Sie haben folgende Auswahlmöglichkeiten: Stadtmitte, Uni-Center, andere Möglichkeiten oder keine Präferenz.;Uni-Center.  ;indicateValues1;localization;querenburg ;localization ;choice;1;11;1;;;0;1;0;0;0;0;1;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;2;;;;;;neutral;neutral;italian;average;querenburg;word_accuracy_100
4;3;100;0;4;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Art der Küche.  ;indicateValues;field;foodtype ;field ;open;1;33;1;foodtype ;field ;1;0;0;0;1;0;0;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;3;0;0;provide ;3;;hor ;;;;neutral;neutral;italian;average;querenburg;word_accuracy_100
4;4;100;0;4;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;italian foodtype ;foodtype field ;1;0;0;1;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;;;;4;0;0;provide ;2;;hor ;;;;neutral;neutral;italian;average;querenburg;word_accuracy_100
4;5;100;0;4;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;1;1;;midday;neutral;italian;average;querenburg;;;italian ;;;5;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg;word_accuracy_100
