iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues (y/n)?;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly transmitted AVPs;Deletions;Substitutions;Insertions;PA:CO;PA:PA;PA:FA;PA:IC;#constraints left in agenda;numGoalChanges;indices of provided restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel used (1=simple, 2=abstract, 3=concrete);barge-in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
28;1;60;1;3;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne in der Innenstadt chinesisch essen gehen, zur Mittagspause. ;request;ALL;chinese midday centre ;foodtype time localization ;open;1;41;3;indian centre neutral ;foodtype localization logical ;1;1;1;1;0;0;0;1;1;0;;midday;neutral;chinese;expensive;centre;;;;;;3;0;0;provide ;11;;;;;;midday;neutral;chinese;expensive;centre
28;2;60;1;3;Sie möchten also in der Innenstadt indisch essen gehen?;Nein, chinesisch essen gehen. ;explConfirm;;chinese ;foodtype ;closed;0;9;1;midday no ;time logical ;0;1;0;2;0;0;0;1;1;0;;midday;neutral;chinese;expensive;centre;;;indian ;;centre ;3;0;0;provide ;4;;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
28;3;60;1;3;Wiederholen Sie bitte die Art der Küche.;Chinesisch. ;repetitionRequest;foodtype;chinese ;foodtype ;closed;0;7;1;;;0;1;0;0;0;0;1;0;1;0;;midday;neutral;chinese;expensive;centre;midday ;;;;;3;0;0;provide ;1;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
28;4;60;1;3;Hier ist das passende Restaurant auf Ihre Anfrage.  {Taj Mahal                Kortumstr. 9    } Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;25;0;;;;;;;;;;;1;0;95;midday;neutral;chinese;expensive;centre;midday ;;;;;3;;0;;0;hor ;hor ;cui34 ;;loc01 ;midday;neutral;chinese;expensive;centre
31;1;60;1;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ja ich möchte gerne Ente essen gehen.  ;request;ALL;poultry ;foodtype ;open;1;41;1;yes ;logical ;0;1;0;1;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;7;;;;;;neutral;neutral;poultry;neutral;neutral
31;2;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne Ente essen.  ;indicateValues;field;poultry ;foodtype ;open;1;33;1;yes choice ;logical action ;0;1;0;2;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;5;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;3;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Hm. Dann möchte ich gerne Ente essen.  ;indicateValues;field;poultry ;foodtype ;open;1;33;1;yes choice ;logical action ;0;1;0;2;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;7;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;4;60;1;1;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Das geht nicht. Ähm ja, weiss ich nicht. Chinesisch Ente essen. Da geht gar nix mehr.  ;indicateValues;field;chinese poultry ;foodtype foodtype ;open;1;33;2;sunday poultry iberian yes no ;date foodtype foodtype logical logical ;1;0;1;3;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;2;0;0;provide ;16;;hor ;;;;neutral;neutral;poultry;neutral;neutral
31;5;60;1;1;Könnten Sie bitte die gewünschte Art der Küche wiederholen?;Chinesisch.  ;repetitionRequest;foodtype;chinese ;foodtype ;closed;0;9;1;chinese ;foodtype ;1;0;0;0;1;0;0;0;0;0;;neutral;neutral;poultry;neutral;neutral;;sunday ;poultry iberian ;;;2;0;0;provide ;1;;neutral ;cui11 cui23 ;;;neutral;neutral;poultry;neutral;neutral
31;6;60;1;1;Wiederholen Sie bitte die Art der Küche.;Ente.  ;repetitionRequest;foodtype;poultry ;foodtype ;closed;0;7;1;;;0;1;0;0;0;0;1;0;0;0;;neutral;neutral;poultry;neutral;neutral;;sunday ;chinese poultry iberian ;;;2;0;0;provide ;1;;neutral ;cui35 ;;;neutral;neutral;poultry;neutral;neutral
