iteration,tar_WA,confirm strategy,taskID,numTurns,numUserTurns,WPST,WPUT,numAVPs,sumCorrectAVPs,sumDeletions,sumSubstitutions,sumInsertions,CER,sumPACO,sumPAPA,sumPAFA,sumPAIC,UA,QD,CE,numSolutions,numBargeIns,numCancelAttempts,numHelpRequests,# turns / concept,# turns till solution,# affirms,# negations,# accepts,# neglects,task success
1,100,0,1,23,11,17.25,,0.9166666667,10,1,0,0,0.0909090909,10,0,1,0,0.9090909091,0.5,0.8571428571,0,0,0,0,2.2,11,0,1,2,0,SN
2,100,0,1,27,13,16.0714285714,,0.9285714286,13,0,0,1,0.0769230769,12,0,0,1,0.9230769231,0.5714285714,1,0,0,0,0,2.1666666667,13,0,1,2,0,SN
3,100,0,1,29,14,15.9333333333,,0.9333333333,14,0,0,1,0.0714285714,13,0,0,1,0.9285714286,0.5333333333,1,0,0,0,0,2.3333333333,14,0,1,2,0,SN
4,100,0,1,13,6,15.1428571429,,0.8571428571,4,2,0,0,0.3333333333,4,0,2,0,0.6666666667,0.5714285714,0.8,0,0,0,0,1.5,6,0,0,1,0,FS
5,100,0,1,31,15,15.6875,,0.9375,15,0,0,2,0.1333333333,13,0,0,2,0.8666666667,0.5625,1,0,0,0,0,2.5,15,0,1,2,0,SN
6,100,0,1,3,1,32.5,,0.5,1,0,0,1,1,0,0,0,1,0,0.5,1,1,0,0,0,1,1,0,0,0,0,SCs
7,100,0,1,31,15,15.75,,0.9375,14,1,0,1,0.1333333333,13,0,1,1,0.8666666667,0.5625,0.9,0,0,0,0,2.5,15,0,1,2,0,SN
8,100,0,1,31,15,15.25,,0.9375,13,2,0,2,0.2666666667,12,0,1,2,0.8,0.5,0.8,0,0,0,0,2.5,15,0,1,2,0,SN
9,100,0,1,25,12,16.6153846154,,0.9230769231,10,2,0,4,0.5,7,0,2,3,0.5833333333,0.5384615385,1,0,0,0,0,2,12,0,1,2,0,SN
10,100,0,1,27,13,16.0714285714,,0.9285714286,13,0,0,1,0.0769230769,12,0,0,1,0.9230769231,0.5714285714,1,0,0,0,0,2.1666666667,13,0,1,2,0,SN
11,100,0,2,11,5,19.3333333333,,0.8333333333,4,1,0,0,0.2,4,0,1,0,0.8,0.6666666667,0.8,1,0,0,0,1.25,5,0,0,0,0,SCs
12,100,0,2,3,1,32.5,,2.5,5,0,0,1,0.2,0,0,0,1,0,2.5,1,1,0,0,0,0.2,1,0,0,0,0,S
13,100,0,2,11,5,18.3333333333,,0.8333333333,5,0,0,0,0,5,0,0,0,1,0.8333333333,1,2,0,0,0,1,5,0,0,0,0,FS
14,100,0,2,11,5,16.6666666667,,0.8333333333,5,0,0,2,0.4,3,0,0,2,0.6,0.6666666667,1,0,0,0,0,1.25,5,0,1,0,0,SN
15,100,0,2,11,5,23.3333333333,,0.8333333333,4,1,0,2,0.6,2,0,1,2,0.4,0.6666666667,0.8,2,0,0,0,1,5,0,0,0,0,FS
16,100,0,2,9,4,18,,1,4,1,0,2,0.6,1,0,1,2,0.25,0.8,0.8,2,0,0,0,1,4,0,0,0,0,FS
17,100,0,2,3,1,37,,2.5,4,1,0,1,0.4,0,0,0,1,0,2,0.8,2,0,0,0,0.2,1,0,0,0,0,FS
18,100,0,2,9,4,21.2,,0.8,4,0,0,1,0.25,3,0,0,1,0.75,0.8,1,1,0,0,0,1,4,0,0,0,0,SCs
19,100,0,2,13,6,17.1428571429,,0.8571428571,5,1,0,2,0.5,3,0,1,2,0.5,0.7142857143,0.8333333333,2,0,0,0,1.2,6,0,0,0,0,FS
20,100,0,2,3,1,35,,2.5,4,1,0,2,0.6,0,0,0,1,0,2,0.8,1,0,0,0,0.2,1,0,0,0,0,SCs
21,70,0,3,5,2,26.3333333333,,0.6666666667,1,1,0,1,1,1,0,0,1,0.5,0.3333333333,0.5,1,0,0,0,1,2,0,0,0,0,FS
22,70,0,3,25,12,17.5384615385,,0.9230769231,10,1,1,5,0.5833333333,6,0,1,5,0.5,0.4615384615,0.75,6,0,0,0,1.7142857143,10,0,2,1,0,FS
23,70,0,3,23,11,13.5,,0.9166666667,7,4,0,3,0.6363636364,6,0,2,3,0.5454545455,0.5,0.6,3,0,0,0,1.8333333333,11,0,0,0,0,S
