iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues..y.n..;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly.transmitted.AVPs;Deletions;Substitutions;Insertions;PA.CO;PA.PA;PA.FA;PA.IC;X.constraints.left.in.agenda;numGoalChanges;indices.of.provided.restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel.used..1.simple..2.abstract..3.concrete.;barge.in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
6;1;70;0;1;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Ich möchte Ente essen.  ;request;ALL;poultry ;foodtype ;open;1;46;1;poultry ;foodtype ;1;0;0;0;1;0;0;0;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;4;;;;;;neutral;neutral;poultry;neutral;neutral
6;2;70;0;1;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Haus Oekey                Auf dem Alten Kamp 10} {China                    Brückstr. 47    } {Mandarin Peking          Herner Str. 127 } Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;36;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;0; 33 79 86;neutral;neutral;poultry;neutral;neutral;;;poultry ;;;1;NA;0;;0;hor ;hor ;cui11 ;;;neutral;neutral;poultry;neutral;neutral
10;1;100;0;5;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Ich möchte äh in Bochum indisch essen gehen.  ;request;ALL;indian bochum ;foodtype localization ;open;1;46;2;indian ;foodtype ;1;1;0;0;0;1;0;0;0;0;;neutral;neutral;indian;neutral;bochum;;;;;;2;0;0;provide ;8;;;;;;neutral;neutral;indian;neutral;neutral
10;2;100;0;5;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Taj Mahal                Kortumstr. 9    } {Shalimar Große Borbach 11} Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;29;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;0; 95 155;neutral;neutral;indian;neutral;bochum;;;indian ;;;2;NA;0;;0;hor ;hor ;cui34 ;;;neutral;neutral;indian;neutral;neutral
11;1;100;0;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Ich möchte gerne wissen, wo ich Ente essen könnte.  ;request;ALL;poultry ;foodtype ;open;1;41;1;poultry yes ;foodtype logical ;1;0;0;1;0;0;0;1;0;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;9;;;;;;neutral;neutral;poultry;neutral;neutral
11;2;100;0;1;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Haus Oekey                Auf dem Alten Kamp 10} {China                    Brückstr. 47    } {Mandarin Peking          Herner Str. 127 } Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag! ;;inform;;;;na;0;36;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;0; 33 79 86;neutral;neutral;poultry;neutral;neutral;;;poultry ;;;1;NA;0;;0;hor ;hor ;cui11 ;;;neutral;neutral;poultry;neutral;neutral
14;1;70;0;4;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Die Küche soll italienisch sein und das soll Ganze soll in Querenburg an der Ruhr-Universität stattfinden.  ;request;ALL;italian querenburg ;foodtype localization ;open;1;41;2;italian midday querenburg wetter foodtype ;foodtype time localization localization field ;2;0;0;3;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;17;;;;;;neutral;neutral;italian;average;querenburg
14;2;70;0;4;Könnten Sie bitte den gewünschten Ort des Restaurants wiederholen?;Ja im Stadtteil Querenburg, an der Querenburger Strasse.  ;repetitionRequest;localization;querenburg ;localization ;closed;0;9;1;;;0;1;0;0;0;0;1;0;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;0;0;provide ;8;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
14;3;70;0;4;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;;;0;1;0;0;0;0;1;0;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;0;0;accept ;1;hor ;hor ;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
14;4;70;0;4;Vielen dank, dass Sie Boris benutzt haben. Auf Wiederhören und einen schönen Tag!;;bye;bye;;;na;0;13;0;;;NA;NA;NA;NA;NA;NA;NA;NA;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;NA;0;;0;hor ;hor ;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
