iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues..y.n..;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly.transmitted.AVPs;Deletions;Substitutions;Insertions;PA.CO;PA.PA;PA.FA;PA.IC;X.constraints.left.in.agenda;numGoalChanges;indices.of.provided.restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel.used..1.simple..2.abstract..3.concrete.;barge.in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization
4;1;100;0;4;Guten Abend! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Boris erlaubt es Ihnen, eine Recherche nach den folgenden Kriterien durchzuführen: der Art der Küche, der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Stellen Sie bitte Ihre Frage.;Der ungefähre Ort des Restaurants.  ;request;ALL;localization ;field ;open;1;46;1;localization foodtype ;field field ;1;0;0;1;0;0;0;1;3;0;;neutral;neutral;italian;average;querenburg;;;;;;1;0;0;provide ;5;;;;;;neutral;neutral;italian;average;querenburg
4;2;100;0;4;Sie haben folgende Auswahlmöglichkeiten: Stadtmitte, Uni-Center, andere Möglichkeiten oder keine Präferenz.;Uni-Center.  ;indicateValues1;localization;querenburg ;localization ;choice;1;11;1;;;0;1;0;0;0;0;1;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;2;;;;;;neutral;neutral;italian;average;querenburg
4;3;100;0;4;Vom derzeitigen System können nur die folgenden Informationen bearbeitet werden: die Art der Küche, die Tageszeit und der Preis der Mahlzeit, der ungefähre Ort des Restaurants oder dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Art der Küche.  ;indicateValues;field;foodtype ;field ;open;1;33;1;foodtype ;field ;1;0;0;0;1;0;0;0;2;0;;neutral;neutral;italian;average;querenburg;;;;;;3;0;0;provide ;3;;hor ;;;;neutral;neutral;italian;average;querenburg
4;4;100;0;4;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Italienische Küche.  ;indicateValues;foodtype;italian ;foodtype ;choice;1;16;1;italian foodtype ;foodtype field ;1;0;0;1;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;;;;4;0;0;provide ;2;;hor ;;;;neutral;neutral;italian;average;querenburg
4;5;100;0;4;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;1;1;;midday;neutral;italian;average;querenburg;;;italian ;;;5;0;0;provide ;2;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
4;6;100;0;4;An welchem Tag beabsichtigen Sie essen zu gehen? ;Dienstag.  ;request;date;tuesday ;date ;closed;0;8;1;tuesday ;date ;1;0;0;0;1;0;0;0;1;2;;midday;tuesday;italian;average;querenburg;midday ;;italian ;;;6;0;0;provide ;1;hor ;hor ;cui20 ;;;neutral;neutral;italian;average;querenburg
4;7;100;0;4;Wieviel möchten Sie ungefähr pro Person ausgeben?;15 Euro.  ;request;price;average ;price ;closed;0;7;1;average ;price ;1;0;0;0;1;0;0;0;0;2;;midday;tuesday;italian;average;querenburg;midday ;tuesday ;italian ;;;7;0;0;provide ;2;;;cui20 ;;;neutral;neutral;italian;average;querenburg
4;8;100;0;4;Es gibt mehrere auf Ihre Anfrage passende Restaurants.  {Basilea am alten Rathaus Untermarkt 10    } {Da Capo                  Springerplatz 34} {Pinocchio Hörder Str. 330} Vielen dank, dass sie Boris benutzt haben. Auf Wiedersehen und einen schönen Abend! ;;inform;;;;na;0;35;0;;;NA;NA;NA;NA;NA;NA;NA;NA;0;2; 119 121 139;midday;tuesday;italian;average;querenburg;midday ;tuesday ;italian ;average ;;7;NA;0;;0;hor ;hor ;cui20 ;prx5 ;;neutral;neutral;italian;average;querenburg
14;1;70;0;4;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Die Küche soll italienisch sein und das soll Ganze soll in Querenburg an der Ruhr-Universität stattfinden.  ;request;ALL;italian querenburg ;foodtype localization ;open;1;41;2;italian midday querenburg wetter foodtype ;foodtype time localization localization field ;2;0;0;3;0;0;0;1;1;0;;neutral;neutral;italian;average;querenburg;;;;;;2;0;0;provide ;17;;;;;;neutral;neutral;italian;average;querenburg
14;2;70;0;4;Könnten Sie bitte den gewünschten Ort des Restaurants wiederholen?;Ja im Stadtteil Querenburg, an der Querenburger Strasse.  ;repetitionRequest;localization;querenburg ;localization ;closed;0;9;1;;;0;1;0;0;0;0;1;0;1;0;;neutral;neutral;italian;average;querenburg;midday ;;italian ;;querenburg wetter ;2;0;0;provide ;8;hor02 hor5 hor8 hor11 hor14 hor17 hor20 ;;cui20 ;;loc12 loc16 ;neutral;neutral;italian;average;querenburg
