iteration;exchange_no;tar_WA;confirmation_type;taskID;system_prompt;user_utterance;sysSA;sysRep.field;userValues;userFields;Openness;indValues..y.n..;system_words;numAVPs;NLUResult.values;NLUResult.fields;Correctly.transmitted.AVPs;Deletions;Substitutions;Insertions;PA.CO;PA.PA;PA.FA;PA.IC;X.constraints.left.in.agenda;numGoalChanges;indices.of.provided.restaurants;user.task.time;user.task.date;user.task.foodtype;user.task.price;user.task.localization;system.state.time;system.state.date;system.state.foodtype;system.state.price;system.state.localization;numConceptsIntroducedSoFar;ASRModel.used..1.simple..2.abstract..3.concrete.;barge.in;userSA;user_words;structS.time;structS.date;structS.foodtype;structS.price;structS.localization;user.scen.time;user.scen.date;user.scen.foodtype;user.scen.price;user.scen.localization;class
1;1;100;0;1;Guten Tag! Herzlich Willkommen bei Boris, dem Bochumer Restaurant-Informationssystem. Sie können ein Restaurant auswählen nach der Art der Küche, nach der Tageszeit oder dem Preis der Mahlzeit, dem ungefähren Ort des Restaurants oder nach dessen Öffnungszeiten. Wie lautet Ihre Anfrage?;Nach der Art der Küche.  ;request;ALL;foodtype ;field ;open;1;41;1;foodtype ;field ;1;0;0;0;1;0;0;0;1;0;;neutral;neutral;poultry;neutral;neutral;;;;;;1;0;0;provide ;5;;;;;;neutral;neutral;poultry;neutral;neutral;succeeded
1;2;100;0;1;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Chinesische Küche.  ;indicateValues;foodtype;chinese ;foodtype ;choice;1;16;1;chinese foodtype ;foodtype field ;1;0;0;1;0;0;0;1;0;1;;neutral;neutral;chinese;neutral;neutral;;;;;;2;0;0;provide ;2;;;;;;neutral;neutral;poultry;neutral;neutral;succeeded
1;3;100;0;1;Suchen Sie ein Restaurant für das Mittagessen oder für das Abendessen?;Das Mittagessen.  ;request;time;midday ;time ;choice;1;11;1;midday ;time ;1;0;0;0;1;0;0;0;0;2;;midday;neutral;chinese;neutral;neutral;;;chinese ;;;3;0;0;provide ;2;;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral;succeeded
1;4;100;0;1;An welchem Tag beabsichtigen Sie essen zu gehen? ;Mittwoch.  ;request;date;wednesday ;date ;closed;0;8;1;wednesday ;date ;1;0;0;0;1;0;0;0;0;3;;midday;wednesday;chinese;neutral;neutral;midday ;;chinese ;;;4;0;0;provide ;1;hor ;hor ;cui35 ;;;neutral;neutral;poultry;neutral;neutral;succeeded
1;5;100;0;1;Wieviel möchten Sie ungefähr pro Person ausgeben?;30 Euro.  ;request;price;expensive ;price ;closed;0;7;1;expensive ;price ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;;;5;0;0;provide ;2;;;cui35 ;;;neutral;neutral;poultry;neutral;neutral;succeeded
1;6;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;5;0;0;accept ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;succeeded
1;7;100;0;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Art der Küche.  ;request;field;foodtype ;field ;closed;1;28;1;foodtype ;field ;1;0;0;0;1;0;0;0;0;4;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;5;0;0;provide ;3;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;succeeded
1;8;100;0;1;Sie können zwischen den folgenden Möglichkeiten wählen: italienische, französische, griechische oder chinesische Küche oder keine Präferenz.;Französiche.  ;indicateValues;foodtype;french ;foodtype ;choice;1;16;1;;;0;1;0;0;0;0;1;0;0;5;;midday;wednesday;french;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;provide ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;succeeded
1;9;100;0;1;Es gibt kein passendes Restaurant auf Ihre Anfrage. Möchten Sie die Anfrage modifizieren?;Ja.  ;offerModification;logical;yes ;logical ;choice;0;13;1;yes ;logical ;1;0;0;0;1;0;0;0;0;5;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;accept ;1;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;succeeded
1;10;100;0;1;Sie können die Art der Küche, die Tageszeit oder den Preis der Mahlzeit, den ungefähren Ort des Restaurants oder dessen Öffnungszeiten ändern. Geben Sie bitte Ihre Änderung an.;Art der Küche.  ;request;field;foodtype ;field ;closed;1;28;1;foodtype ;field ;1;0;0;0;1;0;0;0;0;5;;midday;wednesday;chinese;expensive;neutral;midday ;wednesday ;chinese ;expensive ;;6;0;0;provide ;3;hor ;hor ;cui35 ;prx8 ;;neutral;neutral;poultry;neutral;neutral;succeeded
