Criteria,Classifier,n,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,cosine,1,78,49,24,45,0,0,0
task_success,cosine,1,45,24,49,78,0,0,0
task_success,jensen,1,24,17,56,99,0,0,0
task_success,jensen,1,24,13,60,99,0,0,0
task_success,cosine,2,7,4,69,116,0,0,0
task_success,cosine,2,118,70,3,5,0,0,0
task_success,jensen,2,0,0,73,123,0,0,0
task_success,jensen,2,99,50,23,24,0,0,0
length_of_interaction,cosine,1,49,18,32,0,1,0,0
length_of_interaction,cosine,1,12,9,41,37,0,0,0
length_of_interaction,jensen,1,49,31,19,0,1,0,0
length_of_interaction,jensen,1,45,14,36,4,0,0,0
length_of_interaction,cosine,2,49,32,18,0,1,0,0
length_of_interaction,cosine,2,49,1,49,0,1,0,0
length_of_interaction,jensen,2,49,50,0,0,1,0,0
length_of_interaction,jensen,2,49,10,40,0,1,0,0
word_accuracy,cosine,1,11,71,28,6,0,0,0
word_accuracy,cosine,1,3,13,86,14,0,0,0
word_accuracy,jensen,1,15,94,5,2,0,0,0
word_accuracy,jensen,1,4,24,75,13,0,0,0
word_accuracy,cosine,2,17,96,3,0,1,0,0
word_accuracy,cosine,2,1,5,94,16,0,0,0
word_accuracy,jensen,2,17,99,0,0,1,0,0
word_accuracy,jensen,2,6,37,62,11,0,0,0
