Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
simulation_quality,cosine,1,1,678.0,344.0,1236.0,902.0,0.429113924051,0.663405088063,0.521137586472
simulation_quality,cosine,1,2,423.0,106.0,1474.0,1157.0,0.267721518987,0.799621928166,0.401137980085
simulation_quality,cosine,1,3,1142.0,839.0,741.0,438.0,0.722784810127,0.576476527007,0.641392867172
simulation_quality,cosine,1,4,918.0,615.0,965.0,662.0,0.581012658228,0.598825831703,0.58978477353
simulation_quality,cosine,1,5,746.0,402.0,1178.0,834.0,0.472151898734,0.649825783972,0.546920821114
simulation_quality,cosine,1,6,751.0,402.0,1178.0,829.0,0.475316455696,0.651344319167,0.549579216978
simulation_quality,cosine,1,7,870.0,552.0,1028.0,710.0,0.550632911392,0.611814345992,0.579613590939
simulation_quality,jensen,1,1,153.0,5.0,1575.0,1427.0,0.096835443038,0.96835443038,0.176064441887
simulation_quality,jensen,1,2,22.0,0.0,1580.0,1558.0,0.0139240506329,1.0,0.0274656679151
simulation_quality,jensen,1,3,1580.0,1579.0,1.0,0.0,1.0,0.500158277936,0.666807343321
simulation_quality,jensen,1,4,1570.0,1523.0,57.0,10.0,0.993670886076,0.507597801487,0.671945217205
simulation_quality,jensen,1,5,448.0,169.0,1411.0,1132.0,0.283544303797,0.726094003241,0.407828857533
simulation_quality,jensen,1,6,466.0,182.0,1398.0,1114.0,0.294936708861,0.719135802469,0.418312387792
simulation_quality,jensen,1,7,1506.0,1421.0,159.0,74.0,0.953164556962,0.514519986334,0.668293765254
simulation_quality,kullback leibler,1,1,0.0,0.0,1580.0,1580.0,0,0,0.0
simulation_quality,kullback leibler,1,2,0.0,0.0,1580.0,1580.0,0,0,0.0
simulation_quality,kullback leibler,1,3,1570.0,1544.0,36.0,10.0,0.993670886076,0.504174694926,0.668939071155
simulation_quality,kullback leibler,1,4,1556.0,1523.0,57.0,24.0,0.984810126582,0.505358882754,0.667954496673
simulation_quality,kullback leibler,1,5,101.0,2.0,1578.0,1479.0,0.0639240506329,0.980582524272,0.120023767083
simulation_quality,kullback leibler,1,6,126.0,6.0,1574.0,1454.0,0.079746835443,0.954545454545,0.147196261682
simulation_quality,kullback leibler,1,7,1431.0,1318.0,262.0,149.0,0.905696202532,0.520552928338,0.661122661123
simulation_quality,mean kullback leibler,1,1,20.0,0.0,1580.0,1560.0,0.0126582278481,1.0,0.025
simulation_quality,mean kullback leibler,1,2,1.0,0.0,1580.0,1579.0,0.000632911392405,1.0,0.00126502213789
simulation_quality,mean kullback leibler,1,3,1576.0,1557.0,23.0,4.0,0.99746835443,0.503032237472,0.668788457458
simulation_quality,mean kullback leibler,1,4,1552.0,1484.0,96.0,28.0,0.982278481013,0.511198945982,0.672443674177
simulation_quality,mean kullback leibler,1,5,251.0,26.0,1554.0,1329.0,0.158860759494,0.906137184116,0.270328486807
simulation_quality,mean kullback leibler,1,6,267.0,31.0,1549.0,1313.0,0.168987341772,0.895973154362,0.284345047923
simulation_quality,mean kullback leibler,1,7,1401.0,1229.0,351.0,179.0,0.886708860759,0.532699619772,0.665558194774
simulation_quality,symmetric kullback leibler,1,1,20.0,0.0,1580.0,1560.0,0.0126582278481,1.0,0.025
simulation_quality,symmetric kullback leibler,1,2,1.0,0.0,1580.0,1579.0,0.000632911392405,1.0,0.00126502213789
simulation_quality,symmetric kullback leibler,1,3,1576.0,1557.0,23.0,4.0,0.99746835443,0.503032237472,0.668788457458
simulation_quality,symmetric kullback leibler,1,4,1552.0,1484.0,96.0,28.0,0.982278481013,0.511198945982,0.672443674177
simulation_quality,symmetric kullback leibler,1,5,251.0,26.0,1554.0,1329.0,0.158860759494,0.906137184116,0.270328486807
simulation_quality,symmetric kullback leibler,1,6,267.0,31.0,1549.0,1313.0,0.168987341772,0.895973154362,0.284345047923
simulation_quality,symmetric kullback leibler,1,7,1401.0,1229.0,351.0,179.0,0.886708860759,0.532699619772,0.665558194774
simulation_quality,cosine,2,1,1189.0,816.0,764.0,391.0,0.75253164557,0.593017456359,0.663319386332
simulation_quality,cosine,2,2,1297.0,959.0,621.0,283.0,0.820886075949,0.574911347518,0.676225234619
simulation_quality,cosine,2,3,1421.0,1195.0,385.0,159.0,0.899367088608,0.543195718654,0.677311725453
simulation_quality,cosine,2,4,1337.0,1020.0,560.0,243.0,0.846202531646,0.567246499788,0.679197358395
simulation_quality,cosine,2,5,1258.0,917.0,663.0,322.0,0.796202531646,0.578390804598,0.670039946738
simulation_quality,cosine,2,6,1092.0,792.0,788.0,488.0,0.691139240506,0.579617834395,0.630484988453
simulation_quality,cosine,2,7,1216.0,888.0,692.0,364.0,0.769620253165,0.577946768061,0.660152008686
simulation_quality,jensen,2,1,319.0,0.0,1580.0,1261.0,0.201898734177,1.0,0.335966298052
simulation_quality,jensen,2,2,1374.0,1155.0,425.0,206.0,0.869620253165,0.543297746145,0.668775857873
simulation_quality,jensen,2,3,1580.0,1580.0,0.0,0.0,1.0,0.5,0.666666666667
simulation_quality,jensen,2,4,1579.0,1573.0,7.0,1.0,0.999367088608,0.50095177665,0.667371090448
simulation_quality,jensen,2,5,1554.0,1505.0,75.0,26.0,0.983544303797,0.508009153318,0.669971976719
simulation_quality,jensen,2,6,1342.0,1031.0,549.0,238.0,0.849367088608,0.565528866414,0.678977991399
