Criteria;Classifier;n;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
word_accuracy_100;cosine;1;1;14.0;18.0;81.0;3.0;0.823529411765;0.4375;0.571428571429
word_accuracy_100;jensen;1;1;14.0;18.0;81.0;3.0;0.823529411765;0.4375;0.571428571429
word_accuracy_100;cosine;2;1;12.0;13.0;86.0;5.0;0.705882352941;0.48;0.571428571429
word_accuracy_100;jensen;2;1;14.0;29.0;70.0;3.0;0.823529411765;0.325581395349;0.466666666667
word_accuracy_100;cosine;3;1;11.0;18.0;81.0;6.0;0.647058823529;0.379310344828;0.478260869565
word_accuracy_100;jensen;3;1;15.0;54.0;45.0;2.0;0.882352941176;0.217391304348;0.348837209302
word_accuracy_60;cosine;1;1;81.0;3.0;14.0;18.0;0.818181818182;0.964285714286;0.885245901639
word_accuracy_60;jensen;1;1;81.0;3.0;14.0;18.0;0.818181818182;0.964285714286;0.885245901639
word_accuracy_60;cosine;2;1;86.0;5.0;12.0;13.0;0.868686868687;0.945054945055;0.905263157895
word_accuracy_60;jensen;2;1;70.0;3.0;14.0;29.0;0.707070707071;0.958904109589;0.813953488372
word_accuracy_60;cosine;3;1;81.0;6.0;11.0;18.0;0.818181818182;0.931034482759;0.870967741935
word_accuracy_60;jensen;3;1;45.0;2.0;15.0;54.0;0.454545454545;0.957446808511;0.616438356164
