name;n;threshold;unique_n-grams;total_n-grams
worst_sim;1;1;215;20594
worst_sim;1;2;120;20499
worst_sim;1;3;99;20457
worst_sim;1;4;78;20394
worst_sim;1;5;66;20346
worst_sim;1;6;62;20326
worst_sim;1;7;59;20308
failed;1;1;62;1356
failed;1;2;49;1343
failed;1;3;41;1327
failed;1;4;38;1318
failed;1;5;36;1310
failed;1;6;31;1285
failed;1;7;28;1267
wa_60;1;1;67;1475
wa_60;1;2;48;1456
wa_60;1;3;39;1438
wa_60;1;4;39;1438
wa_60;1;5;38;1434
wa_60;1;6;37;1429
wa_60;1;7;35;1417
shortest;1;1;31;225
shortest;1;2;19;213
shortest;1;3;17;209
shortest;1;4;13;197
shortest;1;5;11;189
shortest;1;6;8;174
shortest;1;7;7;168
successful;1;1;72;2448
successful;1;2;51;2427
successful;1;3;46;2417
successful;1;4;41;2402
successful;1;5;40;2398
successful;1;6;38;2388
successful;1;7;37;2382
wa_100;1;1;49;563
wa_100;1;2;34;548
wa_100;1;3;31;542
wa_100;1;4;28;533
wa_100;1;5;25;521
wa_100;1;6;22;506
wa_100;1;7;21;500
best_sim;1;1;220;24912
best_sim;1;2;132;24824
best_sim;1;3;88;24736
best_sim;1;4;72;24688
best_sim;1;5;68;24672
best_sim;1;6;64;24652
best_sim;1;7;56;24604
longest;1;1;65;2212
longest;1;2;47;2194
longest;1;3;39;2178
longest;1;4;38;2175
longest;1;5;35;2163
longest;1;6;34;2158
longest;1;7;33;2152
worst_sim;2;1;718;22174
worst_sim;2;2;326;21782
worst_sim;2;3;238;21606
worst_sim;2;4;197;21483
worst_sim;2;5;171;21379
worst_sim;2;6;156;21304
worst_sim;2;7;147;21250
failed;2;1;219;1429
failed;2;2;116;1326
failed;2;3;82;1258
failed;2;4;67;1213
failed;2;5;60;1185
failed;2;6;51;1140
failed;2;7;47;1116
wa_60;2;1;226;1574
wa_60;2;2;115;1463
wa_60;2;3;84;1401
wa_60;2;4;73;1368
wa_60;2;5;69;1352
wa_60;2;6;65;1332
wa_60;2;7;52;1254
shortest;2;1;70;274
shortest;2;2;27;231
shortest;2;3;19;215
shortest;2;4;15;203
shortest;2;5;12;191
shortest;2;6;8;171
shortest;2;7;7;165
successful;2;1;255;2571
successful;2;2;138;2454
successful;2;3;106;2390
successful;2;4;94;2354
successful;2;5;81;2302
successful;2;6;75;2272
successful;2;7;71;2248
wa_100;2;1;136;580
wa_100;2;2;66;510
wa_100;2;3;45;468
wa_100;2;4;33;432
wa_100;2;5;30;420
wa_100;2;6;27;405
wa_100;2;7;24;387
best_sim;2;1;750;26492
best_sim;2;2;335;26077
best_sim;2;3;230;25867
best_sim;2;4;200;25777
best_sim;2;5;179;25693
best_sim;2;6;169;25643
best_sim;2;7;156;25565
longest;2;1;220;2262
longest;2;2;121;2163
longest;2;3;91;2103
longest;2;4;83;2079
longest;2;5;69;2023
longest;2;6;62;1988
longest;2;7;57;1958
worst_sim;3;1;1304;23754
worst_sim;3;2;581;23031
worst_sim;3;3;407;22683
worst_sim;3;4;346;22500
worst_sim;3;5;300;22316
worst_sim;3;6;270;22166
worst_sim;3;7;250;22046
failed;3;1;392;1502
failed;3;2;171;1281
failed;3;3;113;1165
failed;3;4;86;1084
failed;3;5;73;1032
failed;3;6;60;967
failed;3;7;54;931
wa_60;3;1;399;1673
wa_60;3;2;173;1447
wa_60;3;3;117;1335
wa_60;3;4;97;1275
wa_60;3;5;89;1243
wa_60;3;6;76;1178
wa_60;3;7;61;1088
shortest;3;1;101;323
shortest;3;2;34;256
shortest;3;3;23;234
shortest;3;4;18;219
shortest;3;5;14;203
shortest;3;6;9;178
shortest;3;7;8;172
successful;3;1;477;2694
successful;3;2;226;2443
successful;3;3;159;2309
successful;3;4;127;2213
successful;3;5;109;2141
successful;3;6;102;2106
successful;3;7;89;2028
wa_100;3;1;224;597
wa_100;3;2;83;456
wa_100;3;3;50;390
wa_100;3;4;37;351
wa_100;3;5;33;335
wa_100;3;6;26;300
wa_100;3;7;22;276
best_sim;3;1;1384;28072
best_sim;3;2;608;27296
best_sim;3;3;421;26922
best_sim;3;4;364;26751
best_sim;3;5;323;26587
best_sim;3;6;304;26492
best_sim;3;7;283;26366
longest;3;1;400;2312
longest;3;2;195;2107
longest;3;3;135;1987
longest;3;4;115;1927
longest;3;5;92;1835
longest;3;6;82;1785
longest;3;7;70;1713
worst_sim;4;1;2211;25334
worst_sim;4;2;916;24039
worst_sim;4;3;615;23437
worst_sim;4;4;503;23101
worst_sim;4;5;430;22809
worst_sim;4;6;373;22524
worst_sim;4;7;344;22350
failed;4;1;576;1575
failed;4;2;202;1201
failed;4;3;130;1057
failed;4;4;95;952
failed;4;5;77;880
failed;4;6;59;790
failed;4;7;51;742
wa_60;4;1;576;1772
wa_60;4;2;217;1413
wa_60;4;3;133;1245
wa_60;4;4;105;1161
wa_60;4;5;91;1105
wa_60;4;6;75;1025
wa_60;4;7;60;935
shortest;4;1;130;372
shortest;4;2;42;284
shortest;4;3;27;254
shortest;4;4;21;236
shortest;4;5;16;216
shortest;4;6;10;186
shortest;4;7;9;180
successful;4;1;715;2817
successful;4;2;299;2401
successful;4;3;206;2215
successful;4;4;150;2047
successful;4;5;130;1967
successful;4;6;116;1897
successful;4;7;98;1789
wa_100;4;1;309;614
wa_100;4;2;92;397
wa_100;4;3;53;319
wa_100;4;4;33;259
wa_100;4;5;27;235
wa_100;4;6;17;185
wa_100;4;7;13;161
best_sim;4;1;2353;29652
best_sim;4;2;969;28268
best_sim;4;3;683;27696
best_sim;4;4;575;27372
best_sim;4;5;496;27056
best_sim;4;6;450;26826
best_sim;4;7;415;26616
longest;4;1;599;2362
longest;4;2;256;2019
longest;4;3;168;1843
longest;4;4;134;1741
longest;4;5;107;1633
longest;4;6;94;1568
longest;4;7;77;1466
worst_sim;5;1;3208;26914
worst_sim;5;2;1282;24988
worst_sim;5;3;840;24104
worst_sim;5;4;654;23546
worst_sim;5;5;552;23138
worst_sim;5;6;463;22693
worst_sim;5;7;424;22459
failed;5;1;755;1648
failed;5;2;215;1108
failed;5;3;132;942
failed;5;4;91;819
failed;5;5;69;731
failed;5;6;56;666
failed;5;7;45;600
wa_60;5;1;740;1871
wa_60;5;2;246;1377
wa_60;5;3;136;1157
wa_60;5;4;105;1064
wa_60;5;5;90;1004
wa_60;5;6;70;904
wa_60;5;7;60;844
shortest;5;1;159;421
shortest;5;2;50;312
shortest;5;3;31;274
shortest;5;4;24;253
shortest;5;5;18;229
shortest;5;6;11;194
shortest;5;7;10;188
successful;5;1;959;2940
successful;5;2;357;2338
successful;5;3;231;2086
successful;5;4;155;1858
successful;5;5;131;1762
successful;5;6;116;1687
successful;5;7;94;1555
wa_100;5;1;385;631
wa_100;5;2;90;336
wa_100;5;3;44;244
wa_100;5;4;24;184
wa_100;5;5;22;176
wa_100;5;6;14;136
wa_100;5;7;9;106
best_sim;5;1;3444;31232
best_sim;5;2;1369;29157
best_sim;5;3;962;28343
best_sim;5;4;789;27824
best_sim;5;5;672;27356
best_sim;5;6;592;26956
best_sim;5;7;535;26614
longest;5;1;808;2412
longest;5;2;305;1909
longest;5;3;185;1669
longest;5;4;136;1522
longest;5;5;106;1402
longest;5;6;92;1332
longest;5;7;73;1218
worst_sim;6;1;4367;28494
worst_sim;6;2;1602;25729
worst_sim;6;3;1022;24569
worst_sim;6;4;786;23861
worst_sim;6;5;646;23301
worst_sim;6;6;535;22746
worst_sim;6;7;491;22482
failed;6;1;920;1721
failed;6;2;218;1019
failed;6;3;121;825
failed;6;4;80;702
failed;6;5;61;626
failed;6;6;48;561
failed;6;7;35;483
wa_60;6;1;896;1970
wa_60;6;2;259;1333
wa_60;6;3;141;1097
wa_60;6;4;106;992
wa_60;6;5;78;880
wa_60;6;6;60;790
wa_60;6;7;54;754
shortest;6;1;188;470
shortest;6;2;58;340
shortest;6;3;35;294
shortest;6;4;27;270
shortest;6;5;20;242
shortest;6;6;12;202
shortest;6;7;11;196
successful;6;1;1206;3063
successful;6;2;393;2250
successful;6;3;243;1950
successful;6;4;168;1725
successful;6;5;133;1585
successful;6;6;110;1470
successful;6;7;87;1332
wa_100;6;1;446;648
wa_100;6;2;79;281
wa_100;6;3;35;193
wa_100;6;4;18;142
wa_100;6;5;18;142
wa_100;6;6;12;112
wa_100;6;7;7;82
best_sim;6;1;4762;32812
best_sim;6;2;1820;29870
best_sim;6;3;1217;28664
best_sim;6;4;966;27911
best_sim;6;5;809;27283
best_sim;6;6;697;26723
best_sim;6;7;623;26279
longest;6;1;1020;2462
longest;6;2;340;1782
longest;6;3;194;1490
longest;6;4;136;1316
longest;6;5;101;1176
longest;6;6;85;1096
longest;6;7;71;1012
worst_sim;7;1;5567;30074
worst_sim;7;2;1908;26415
worst_sim;7;3;1194;24987
worst_sim;7;4;891;24078
worst_sim;7;5;720;23394
worst_sim;7;6;591;22749
worst_sim;7;7;539;22437
failed;7;1;1064;1794
failed;7;2;220;950
failed;7;3;109;728
failed;7;4;77;632
failed;7;5;55;544
failed;7;6;40;469
failed;7;7;26;385
wa_60;7;1;1037;2069
wa_60;7;2;271;1303
wa_60;7;3;146;1053
wa_60;7;4;101;918
wa_60;7;5;70;794
wa_60;7;6;51;699
wa_60;7;7;47;675
shortest;7;1;217;519
shortest;7;2;66;368
shortest;7;3;39;314
shortest;7;4;30;287
shortest;7;5;22;255
shortest;7;6;13;210
shortest;7;7;12;204
successful;7;1;1432;3186
successful;7;2;421;2175
successful;7;3;253;1839
successful;7;4;176;1608
successful;7;5;132;1432
successful;7;6;100;1272
successful;7;7;80;1152
wa_100;7;1;495;665
wa_100;7;2;70;240
wa_100;7;3;27;154
wa_100;7;4;15;118
wa_100;7;5;15;118
wa_100;7;6;10;93
wa_100;7;7;6;69
best_sim;7;1;6165;34392
best_sim;7;2;2237;30464
best_sim;7;3;1444;28878
best_sim;7;4;1122;27912
best_sim;7;5;922;27112
best_sim;7;6;776;26382
best_sim;7;7;691;25872
longest;7;1;1214;2512
longest;7;2;364;1662
longest;7;3;199;1332
longest;7;4;135;1140
longest;7;5;97;988
longest;7;6;75;878
longest;7;7;62;800
worst_sim;8;1;6768;31654
worst_sim;8;2;2182;27068
worst_sim;8;3;1317;25338
worst_sim;8;4;964;24279
worst_sim;8;5;785;23563
worst_sim;8;6;634;22808
worst_sim;8;7;570;22424
failed;8;1;1189;1867
failed;8;2;217;895
failed;8;3;100;661
failed;8;4;68;565
failed;8;5;47;481
failed;8;6;32;406
failed;8;7;22;346
wa_60;8;1;1172;2168
wa_60;8;2;271;1267
wa_60;8;3;142;1009
wa_60;8;4;90;853
wa_60;8;5;66;757
wa_60;8;6;51;682
wa_60;8;7;46;652
shortest;8;1;246;568
shortest;8;2;74;396
shortest;8;3;43;334
shortest;8;4;33;304
shortest;8;5;24;268
shortest;8;6;14;218
shortest;8;7;13;212
successful;8;1;1657;3309
successful;8;2;442;2094
successful;8;3;248;1706
successful;8;4;164;1454
successful;8;5;118;1270
successful;8;6;85;1105
successful;8;7;68;1003
wa_100;8;1;533;682
wa_100;8;2;65;214
wa_100;8;3;23;130
wa_100;8;4;12;97
wa_100;8;5;11;93
wa_100;8;6;8;78
wa_100;8;7;6;66
best_sim;8;1;7667;35972
best_sim;8;2;2558;30863
best_sim;8;3;1611;28969
best_sim;8;4;1219;27793
best_sim;8;5;990;26877
best_sim;8;6;829;26072
best_sim;8;7;730;25478
longest;8;1;1420;2562
longest;8;2;368;1510
longest;8;3;190;1154
longest;8;4;119;941
longest;8;5;83;797
longest;8;6;59;677
longest;8;7;48;611
