name;n;threshold;unique_n-grams;total_n-grams
worst_sim;1;1;215;20594
failed;1;1;62;1356
wa_60;1;1;67;1475
shortest;1;1;31;225
successful;1;1;72;2448
experiment;1;1;84;3804
wa_100;1;1;49;563
best_sim;1;1;220;24912
longest;1;1;65;2212
worst_sim;2;1;718;22174
failed;2;1;219;1429
wa_60;2;1;226;1574
shortest;2;1;70;274
successful;2;1;255;2571
experiment;2;1;356;4000
wa_100;2;1;136;580
best_sim;2;1;750;26492
longest;2;1;220;2262
worst_sim;3;1;1304;23754
failed;3;1;392;1502
wa_60;3;1;399;1673
shortest;3;1;101;323
successful;3;1;477;2694
experiment;3;1;680;4196
wa_100;3;1;224;597
best_sim;3;1;1384;28072
longest;3;1;400;2312
worst_sim;4;1;2211;25334
failed;4;1;576;1575
wa_60;4;1;576;1772
shortest;4;1;130;372
successful;4;1;715;2817
experiment;4;1;1052;4392
wa_100;4;1;309;614
best_sim;4;1;2353;29652
longest;4;1;599;2362
worst_sim;5;1;3208;26914
failed;5;1;755;1648
wa_60;5;1;740;1871
shortest;5;1;159;421
successful;5;1;959;2940
experiment;5;1;1445;4588
wa_100;5;1;385;631
best_sim;5;1;3444;31232
longest;5;1;808;2412
worst_sim;6;1;4367;28494
failed;6;1;920;1721
wa_60;6;1;896;1970
shortest;6;1;188;470
successful;6;1;1206;3063
experiment;6;1;1828;4784
wa_100;6;1;446;648
best_sim;6;1;4762;32812
longest;6;1;1020;2462
worst_sim;7;1;5567;30074
failed;7;1;1064;1794
wa_60;7;1;1037;2069
shortest;7;1;217;519
successful;7;1;1432;3186
experiment;7;1;2182;4980
wa_100;7;1;495;665
best_sim;7;1;6165;34392
longest;7;1;1214;2512
worst_sim;8;1;6768;31654
failed;8;1;1189;1867
wa_60;8;1;1172;2168
shortest;8;1;246;568
successful;8;1;1657;3309
experiment;8;1;2533;5176
wa_100;8;1;533;682
best_sim;8;1;7667;35972
longest;8;1;1420;2562
