Criteria;Classifier;n;l;Freq. Threshold;TP;FP;TN;FN;Recall;Precision;F-Measure
task_successful;cosine;1;0.05;2;71.0;37.0;36.0;52.0;0.577235772358;0.657407407407;0.614718614719
task_successful;jensen;1;0.05;2;70.0;35.0;38.0;53.0;0.569105691057;0.666666666667;0.614035087719
task_successful;kullback leibler;1;0.05;2;64.0;37.0;36.0;59.0;0.520325203252;0.633663366337;0.571428571429
task_successful;mean kullback leibler;1;0.05;2;70.0;36.0;37.0;53.0;0.569105691057;0.660377358491;0.61135371179
task_successful;symmetric kullback leibler;1;0.05;2;123.0;73.0;0.0;0.0;1.0;0.627551020408;0.771159874608
task_successful;rank order;1;0.05;2;0.0;0.0;73.0;123.0;0;0;0
task_successful;cosine;2;0.05;2;72.0;29.0;44.0;51.0;0.585365853659;0.712871287129;0.642857142857
task_successful;jensen;2;0.05;2;63.0;28.0;45.0;60.0;0.512195121951;0.692307692308;0.588785046729
task_successful;kullback leibler;2;0.05;2;53.0;18.0;55.0;70.0;0.430894308943;0.746478873239;0.546391752577
task_successful;mean kullback leibler;2;0.05;2;63.0;23.0;50.0;60.0;0.512195121951;0.732558139535;0.602870813397
task_successful;symmetric kullback leibler;2;0.05;2;123.0;73.0;0.0;0.0;1.0;0.627551020408;0.771159874608
task_successful;rank order;2;0.05;2;0.0;0.0;73.0;123.0;0;0;0
task_successful;cosine;3;0.05;2;19.0;13.0;60.0;104.0;0.154471544715;0.59375;0.245161290323
task_successful;jensen;3;0.05;2;26.0;17.0;56.0;97.0;0.211382113821;0.604651162791;0.313253012048
task_successful;kullback leibler;3;0.05;2;35.0;17.0;56.0;88.0;0.284552845528;0.673076923077;0.4
task_successful;mean kullback leibler;3;0.05;2;26.0;16.0;57.0;97.0;0.211382113821;0.619047619048;0.315151515152
task_successful;symmetric kullback leibler;3;0.05;2;123.0;73.0;0.0;0.0;1.0;0.627551020408;0.771159874608
task_successful;rank order;3;0.05;2;0.0;0.0;73.0;123.0;0;0;0
task_successful;cosine;4;0.05;2;31.0;16.0;57.0;92.0;0.252032520325;0.659574468085;0.364705882353
