Criteria,Classifier,n,Freq. Threshold,TP,FP,TN,FN,Recall,Precision,F-Measure
task_success,cosine,1,1,57.0,27.0,46.0,66.0,0.463414634146,0.678571428571,0.550724637681
task_success,cosine,1,2,74.0,29.0,44.0,49.0,0.60162601626,0.718446601942,0.654867256637
task_success,cosine,1,3,75.0,28.0,45.0,48.0,0.609756097561,0.728155339806,0.663716814159
task_success,cosine,1,4,72.0,27.0,46.0,51.0,0.585365853659,0.727272727273,0.648648648649
task_success,cosine,1,5,72.0,26.0,47.0,51.0,0.585365853659,0.734693877551,0.651583710407
task_success,cosine,1,6,60.0,25.0,48.0,63.0,0.487804878049,0.705882352941,0.576923076923
task_success,cosine,1,7,54.0,23.0,50.0,69.0,0.439024390244,0.701298701299,0.54
task_success,jensen,1,1,22.0,3.0,70.0,101.0,0.178861788618,0.88,0.297297297297
task_success,jensen,1,2,55.0,22.0,51.0,68.0,0.447154471545,0.714285714286,0.55
task_success,jensen,1,3,47.0,13.0,60.0,76.0,0.382113821138,0.783333333333,0.513661202186
task_success,jensen,1,4,63.0,26.0,47.0,60.0,0.512195121951,0.707865168539,0.594339622642
task_success,jensen,1,5,59.0,23.0,50.0,64.0,0.479674796748,0.719512195122,0.575609756098
task_success,jensen,1,6,46.0,16.0,57.0,77.0,0.373983739837,0.741935483871,0.497297297297
task_success,jensen,1,7,45.0,10.0,63.0,78.0,0.365853658537,0.818181818182,0.505617977528
task_success,kullback leibler,1,1,11.0,3.0,70.0,112.0,0.0894308943089,0.785714285714,0.160583941606
task_success,kullback leibler,1,2,46.0,10.0,63.0,77.0,0.373983739837,0.821428571429,0.513966480447
task_success,kullback leibler,1,3,46.0,9.0,64.0,77.0,0.373983739837,0.836363636364,0.516853932584
task_success,kullback leibler,1,4,54.0,24.0,49.0,69.0,0.439024390244,0.692307692308,0.537313432836
task_success,kullback leibler,1,5,56.0,17.0,56.0,67.0,0.455284552846,0.767123287671,0.571428571429
task_success,kullback leibler,1,6,49.0,13.0,60.0,74.0,0.39837398374,0.790322580645,0.52972972973
task_success,kullback leibler,1,7,43.0,8.0,65.0,80.0,0.349593495935,0.843137254902,0.494252873563
task_success,mean kullback leibler,1,1,17.0,3.0,70.0,106.0,0.138211382114,0.85,0.237762237762
task_success,mean kullback leibler,1,2,53.0,16.0,57.0,70.0,0.430894308943,0.768115942029,0.552083333333
task_success,mean kullback leibler,1,3,47.0,13.0,60.0,76.0,0.382113821138,0.783333333333,0.513661202186
task_success,mean kullback leibler,1,4,62.0,25.0,48.0,61.0,0.50406504065,0.712643678161,0.590476190476
task_success,mean kullback leibler,1,5,56.0,23.0,50.0,67.0,0.455284552846,0.708860759494,0.554455445545
task_success,mean kullback leibler,1,6,47.0,16.0,57.0,76.0,0.382113821138,0.746031746032,0.505376344086
task_success,mean kullback leibler,1,7,44.0,10.0,63.0,79.0,0.357723577236,0.814814814815,0.497175141243
task_success,symmetric kullback leibler,1,1,17.0,3.0,70.0,106.0,0.138211382114,0.85,0.237762237762
task_success,symmetric kullback leibler,1,2,53.0,16.0,57.0,70.0,0.430894308943,0.768115942029,0.552083333333
task_success,symmetric kullback leibler,1,3,47.0,13.0,60.0,76.0,0.382113821138,0.783333333333,0.513661202186
task_success,symmetric kullback leibler,1,4,62.0,25.0,48.0,61.0,0.50406504065,0.712643678161,0.590476190476
task_success,symmetric kullback leibler,1,5,56.0,23.0,50.0,67.0,0.455284552846,0.708860759494,0.554455445545
task_success,symmetric kullback leibler,1,6,47.0,16.0,57.0,76.0,0.382113821138,0.746031746032,0.505376344086
task_success,symmetric kullback leibler,1,7,44.0,10.0,63.0,79.0,0.357723577236,0.814814814815,0.497175141243
task_success,cosine,2,1,33.0,13.0,60.0,90.0,0.268292682927,0.717391304348,0.390532544379
task_success,cosine,2,2,36.0,16.0,57.0,87.0,0.292682926829,0.692307692308,0.411428571429
task_success,cosine,2,3,35.0,17.0,56.0,88.0,0.284552845528,0.673076923077,0.4
task_success,cosine,2,4,36.0,16.0,57.0,87.0,0.292682926829,0.692307692308,0.411428571429
task_success,cosine,2,5,38.0,19.0,54.0,85.0,0.308943089431,0.666666666667,0.422222222222
task_success,cosine,2,6,35.0,17.0,56.0,88.0,0.284552845528,0.673076923077,0.4
task_success,cosine,2,7,38.0,12.0,61.0,85.0,0.308943089431,0.76,0.439306358382
task_success,jensen,2,1,2.0,1.0,72.0,121.0,0.0162601626016,0.666666666667,0.031746031746
task_success,jensen,2,2,17.0,1.0,72.0,106.0,0.138211382114,0.944444444444,0.241134751773
task_success,jensen,2,3,23.0,2.0,71.0,100.0,0.186991869919,0.92,0.310810810811
task_success,jensen,2,4,19.0,2.0,71.0,104.0,0.154471544715,0.904761904762,0.263888888889
task_success,jensen,2,5,25.0,5.0,68.0,98.0,0.20325203252,0.833333333333,0.326797385621
task_success,jensen,2,6,27.0,8.0,65.0,96.0,0.219512195122,0.771428571429,0.341772151899
task_success,jensen,2,7,27.0,7.0,66.0,96.0,0.219512195122,0.794117647059,0.343949044586
task_success,kullback leibler,2,1,0.0,1.0,72.0,123.0,0,0,0.0
task_success,kullback leibler,2,2,10.0,1.0,72.0,113.0,0.0813008130081,0.909090909091,0.149253731343
task_success,kullback leibler,2,3,21.0,2.0,71.0,102.0,0.170731707317,0.913043478261,0.287671232877
task_success,kullback leibler,2,4,20.0,3.0,70.0,103.0,0.162601626016,0.869565217391,0.27397260274
task_success,kullback leibler,2,5,26.0,9.0,64.0,97.0,0.211382113821,0.742857142857,0.329113924051
task_success,kullback leibler,2,6,27.0,9.0,64.0,96.0,0.219512195122,0.75,0.339622641509
task_success,kullback leibler,2,7,26.0,6.0,67.0,97.0,0.211382113821,0.8125,0.335483870968
task_success,mean kullback leibler,2,1,2.0,1.0,72.0,121.0,0.0162601626016,0.666666666667,0.031746031746
task_success,mean kullback leibler,2,2,18.0,1.0,72.0,105.0,0.146341463415,0.947368421053,0.253521126761
task_success,mean kullback leibler,2,3,24.0,3.0,70.0,99.0,0.19512195122,0.888888888889,0.32
task_success,mean kullback leibler,2,4,19.0,3.0,70.0,104.0,0.154471544715,0.863636363636,0.262068965517
task_success,mean kullback leibler,2,5,27.0,5.0,68.0,96.0,0.219512195122,0.84375,0.348387096774
task_success,mean kullback leibler,2,6,28.0,11.0,62.0,95.0,0.227642276423,0.717948717949,0.345679012346
task_success,mean kullback leibler,2,7,27.0,8.0,65.0,96.0,0.219512195122,0.771428571429,0.341772151899
task_success,symmetric kullback leibler,2,1,2.0,1.0,72.0,121.0,0.0162601626016,0.666666666667,0.031746031746
task_success,symmetric kullback leibler,2,2,18.0,1.0,72.0,105.0,0.146341463415,0.947368421053,0.253521126761
task_success,symmetric kullback leibler,2,3,24.0,3.0,70.0,99.0,0.19512195122,0.888888888889,0.32
task_success,symmetric kullback leibler,2,4,19.0,3.0,70.0,104.0,0.154471544715,0.863636363636,0.262068965517
task_success,symmetric kullback leibler,2,5,27.0,5.0,68.0,96.0,0.219512195122,0.84375,0.348387096774
task_success,symmetric kullback leibler,2,6,28.0,11.0,62.0,95.0,0.227642276423,0.717948717949,0.345679012346
task_success,symmetric kullback leibler,2,7,27.0,8.0,65.0,96.0,0.219512195122,0.771428571429,0.341772151899
task_success,cosine,3,1,16.0,2.0,71.0,107.0,0.130081300813,0.888888888889,0.22695035461
task_success,cosine,3,2,20.0,3.0,70.0,103.0,0.162601626016,0.869565217391,0.27397260274
task_success,cosine,3,3,22.0,2.0,71.0,101.0,0.178861788618,0.916666666667,0.299319727891
task_success,cosine,3,4,22.0,3.0,70.0,101.0,0.178861788618,0.88,0.297297297297
task_success,cosine,3,5,20.0,3.0,70.0,103.0,0.162601626016,0.869565217391,0.27397260274
task_success,cosine,3,6,18.0,3.0,70.0,105.0,0.146341463415,0.857142857143,0.25
task_success,cosine,3,7,21.0,2.0,71.0,102.0,0.170731707317,0.913043478261,0.287671232877
task_success,jensen,3,1,0.0,1.0,72.0,123.0,0,0,0.0
task_success,jensen,3,2,7.0,1.0,72.0,116.0,0.0569105691057,0.875,0.106870229008
task_success,jensen,3,3,14.0,2.0,71.0,109.0,0.113821138211,0.875,0.201438848921
task_success,jensen,3,4,19.0,2.0,71.0,104.0,0.154471544715,0.904761904762,0.263888888889
task_success,jensen,3,5,18.0,2.0,71.0,105.0,0.146341463415,0.9,0.251748251748
task_success,jensen,3,6,16.0,3.0,70.0,107.0,0.130081300813,0.842105263158,0.225352112676
task_success,jensen,3,7,14.0,2.0,71.0,109.0,0.113821138211,0.875,0.201438848921
task_success,kullback leibler,3,1,0.0,1.0,72.0,123.0,0,0,0.0
task_success,kullback leibler,3,2,6.0,1.0,72.0,117.0,0.0487804878049,0.857142857143,0.0923076923077
task_success,kullback leibler,3,3,16.0,1.0,72.0,107.0,0.130081300813,0.941176470588,0.228571428571
task_success,kullback leibler,3,4,19.0,2.0,71.0,104.0,0.154471544715,0.904761904762,0.263888888889
task_success,kullback leibler,3,5,18.0,3.0,70.0,105.0,0.146341463415,0.857142857143,0.25
task_success,kullback leibler,3,6,17.0,3.0,70.0,106.0,0.138211382114,0.85,0.237762237762
task_success,kullback leibler,3,7,18.0,4.0,69.0,105.0,0.146341463415,0.818181818182,0.248275862069
task_success,mean kullback leibler,3,1,0.0,1.0,72.0,123.0,0,0,0.0
task_success,mean kullback leibler,3,2,7.0,1.0,72.0,116.0,0.0569105691057,0.875,0.106870229008
task_success,mean kullback leibler,3,3,15.0,2.0,71.0,108.0,0.121951219512,0.882352941176,0.214285714286
task_success,mean kullback leibler,3,4,18.0,2.0,71.0,105.0,0.146341463415,0.9,0.251748251748
task_success,mean kullback leibler,3,5,17.0,2.0,71.0,106.0,0.138211382114,0.894736842105,0.239436619718
task_success,mean kullback leibler,3,6,16.0,2.0,71.0,107.0,0.130081300813,0.888888888889,0.22695035461
task_success,mean kullback leibler,3,7,15.0,2.0,71.0,108.0,0.121951219512,0.882352941176,0.214285714286
task_success,symmetric kullback leibler,3,1,0.0,1.0,72.0,123.0,0,0,0.0
task_success,symmetric kullback leibler,3,2,7.0,1.0,72.0,116.0,0.0569105691057,0.875,0.106870229008
task_success,symmetric kullback leibler,3,3,15.0,2.0,71.0,108.0,0.121951219512,0.882352941176,0.214285714286
task_success,symmetric kullback leibler,3,4,18.0,2.0,71.0,105.0,0.146341463415,0.9,0.251748251748
task_success,symmetric kullback leibler,3,5,17.0,2.0,71.0,106.0,0.138211382114,0.894736842105,0.239436619718
task_success,symmetric kullback leibler,3,6,16.0,2.0,71.0,107.0,0.130081300813,0.888888888889,0.22695035461
task_success,symmetric kullback leibler,3,7,15.0,2.0,71.0,108.0,0.121951219512,0.882352941176,0.214285714286
task_success,cosine,4,1,11.0,2.0,71.0,112.0,0.0894308943089,0.846153846154,0.161764705882
task_success,cosine,4,2,15.0,3.0,70.0,108.0,0.121951219512,0.833333333333,0.212765957447
task_success,cosine,4,3,18.0,1.0,72.0,105.0,0.146341463415,0.947368421053,0.253521126761
task_success,cosine,4,4,13.0,3.0,70.0,110.0,0.105691056911,0.8125,0.187050359712
task_success,cosine,4,5,13.0,2.0,71.0,110.0,0.105691056911,0.866666666667,0.188405797101
task_success,cosine,4,6,9.0,3.0,70.0,114.0,0.0731707317073,0.75,0.133333333333
task_success,cosine,4,7,8.0,1.0,72.0,115.0,0.0650406504065,0.888888888889,0.121212121212
task_success,jensen,4,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,jensen,4,2,4.0,1.0,72.0,119.0,0.0325203252033,0.8,0.0625
task_success,jensen,4,3,13.0,0.0,73.0,110.0,0.105691056911,1.0,0.191176470588
task_success,jensen,4,4,11.0,3.0,70.0,112.0,0.0894308943089,0.785714285714,0.160583941606
task_success,jensen,4,5,9.0,4.0,69.0,114.0,0.0731707317073,0.692307692308,0.132352941176
task_success,jensen,4,6,10.0,4.0,69.0,113.0,0.0813008130081,0.714285714286,0.14598540146
task_success,jensen,4,7,10.0,2.0,71.0,113.0,0.0813008130081,0.833333333333,0.148148148148
task_success,kullback leibler,4,1,0.0,0.0,73.0,123.0,0,0,0.0
task_success,kullback leibler,4,2,7.0,1.0,72.0,116.0,0.0569105691057,0.875,0.106870229008
task_success,kullback leibler,4,3,15.0,1.0,72.0,108.0,0.121951219512,0.9375,0.215827338129
task_success,kullback leibler,4,4,13.0,4.0,69.0,110.0,0.105691056911,0.764705882353,0.185714285714
